Entity,Code,Year,Schizophrenia disorders (share of population) - Sex: Both - Age: Age-standardized,Depressive disorders (share of population) - Sex: Both - Age: Age-standardized,Anxiety disorders (share of population) - Sex: Both - Age: Age-standardized,Bipolar disorders (share of population) - Sex: Both - Age: Age-standardized,Eating disorders (share of population) - Sex: Both - Age: Age-standardized,Cluster
0.0,0.0,1990-1995,0.12714204483430525,0.567281349877462,0.4200844831158903,0.3934577910564131,0.08401972185252457,0
0.0,0.0,1990-1995,0.12439376468843921,0.5661662806878776,0.4184218289208006,0.3927375684471467,0.0795166836120676,0
0.0,0.0,1990-1995,0.12182620348675366,0.564868981084911,0.415700111152006,0.39177399128647916,0.07504636169711387,0
0.0,0.0,1990-1995,0.11903425111878552,0.5641525031606582,0.41418864373083575,0.39124190319348995,0.07124127511161257,0
0.0,0.0,1990-1995,0.1160951653899942,0.5642870162814604,0.4137825878146514,0.39109915521421346,0.06792364029487546,0
0.0,0.0,1990-1995,0.11326568049307284,0.564359849657541,0.4133807871308014,0.3910014994462072,0.06457207120716757,0
0.0,0.0,1996-2000,0.1098148074853531,0.5648923824813064,0.4130336372705925,0.3909122961094349,0.06129094435648234,0
0.0,0.0,1996-2000,0.1055081416533924,0.565889138260643,0.4129230901894565,0.39087241874636336,0.057503356871000895,0
0.0,0.0,1996-2000,0.10107893777899746,0.5674021291710702,0.41340161849466883,0.39099868448473374,0.05397650293601814,0
0.0,0.0,1996-2000,0.09740045757525029,0.5686104773391689,0.4141899188178768,0.39121703644267225,0.05161813291276155,0
0.0,0.0,1996-2000,0.09537958488438247,0.569294817127967,0.41468262134647527,0.3913664180711047,0.05075978939096481,0
0.0,0.0,2001-2005,0.09464834012116607,0.5685476708000641,0.4145203591072113,0.3912739771512973,0.05042661746985696,0
0.0,0.0,2001-2005,0.0941873514938879,0.5669888732484023,0.4139682760716453,0.3910098386752371,0.05069342048237759,0
0.0,0.0,2001-2005,0.09383746207597432,0.5649304975260985,0.41394133615125583,0.3908787580697889,0.05086824936005147,0
0.0,0.0,2001-2005,0.09372044244821576,0.5635323416606488,0.4140704313008603,0.39079999952304134,0.05142368112999302,0
0.0,0.0,2001-2005,0.0938535422246981,0.5623432796398935,0.4142010832427824,0.3907532847468467,0.05188890691387384,0
0.0,0.0,2006-2010,0.0944453282435278,0.5618469348792212,0.41485462465766865,0.3908215834099422,0.05278616896101299,0
0.0,0.0,2006-2010,0.09568455952324695,0.5613373788626634,0.415550214291721,0.3908142630007486,0.05463141714023593,0
0.0,0.0,2006-2010,0.09725076600894844,0.5602673651180581,0.41637027317820596,0.39078389462281526,0.056868338140372586,0
0.0,0.0,2006-2010,0.09881477974709652,0.5596218425792474,0.4174296332837808,0.39078958492027094,0.05902476530694941,0
0.0,0.0,2006-2010,0.1000881082512689,0.5592437132467025,0.4184061127316907,0.3907520772566704,0.060983002753295414,0
0.0,0.0,2011-2015,0.10160293135263909,0.5589954918753064,0.4204320184675304,0.39071709022881285,0.06321624053232194,0
0.0,0.0,2011-2015,0.10377122977067044,0.558857075800046,0.4239313910653998,0.39069604216567766,0.06514411546957152,0
0.0,0.0,2011-2015,0.10608673464110996,0.5588302940205008,0.42800846705240314,0.3906982684756901,0.06749681221772613,0
